ID,ano_nascimento,nivel_educacao,estado_civil,renda_mensal,num_filhos_pequenos,num_filhos_adolescentes,num_dias_primeira_compra,num_dias_ultima_compra,gasto_vinho_ult_2anos,gasto_prod_frutas_ult_2anos,gasto_prod_carne_ult_2anos,gasto_prod_peixe_ult_2anos,gasto_prod_doces_ulti_2anos,qtde_compras_desconto,qtde_compras_web_restaurante,qtde_compras_catalogo,qtde_compras_loja,qtde_vistas_web_ult_mes,aceitou_qtde_oferta,reclamou_ult_2anos
6862,1971,graduado,divorciado,"650,38",0,0,42,65,1,1,3,1,1,15,0,0,0,20,0,0
5376,1979,graduado,casado,"919,92",1,0,539,42,1,1,1725,1,1,15,0,28,0,1,0,0
11110,1973,graduado,solteiro,"1316,54",1,0,442,56,2,1,1,0,0,0,0,0,0,14,0,0
9931,1963,doutorado,casado,"1512,41",1,1,6,29,5,0,1,1,1,15,0,0,0,19,0,0
10311,1969,graduado,casado,"1664,66",0,1,267,0,16,4,12,2,4,0,25,0,0,1,0,0
3955,1965,graduado,divorciado,"1827,44",0,0,7,20,2,1,1,1,0,0,0,0,0,14,0,0
9303,1976,graduado,casado,"1994,36",0,1,334,12,12,4,7,1,3,0,1,0,0,13,0,0
5899,1950,doutorado,vive_junto,"2123,31",1,1,108,68,28,0,6,1,1,1,1,0,0,20,1,0
4246,1982,mestrado,solteiro,"2466,17",0,0,199,2,67,11,26,4,3,0,1,0,1,17,0,0
4303,1957,doutorado,vive_junto,"2569,55",0,1,568,76,107,2,12,2,2,0,0,0,1,20,0,0
6237,1966,doutorado,solteiro,"2685,71",0,2,204,92,81,4,33,5,2,0,23,1,1,0,0,0
387,1976,ensino_medio,casado,"2819,55",0,0,593,59,6,16,11,11,1,1,2,0,3,8,0,0
2139,1975,mestrado,casado,"2819,55",1,0,270,19,3,1,10,3,2,3,2,0,3,5,0,0
9909,1996,pos,casado,"2819,55",0,0,597,24,3,18,14,15,22,3,3,1,3,9,1,0
7297,1973,graduado,solteiro,"2819,55",1,0,185,54,5,3,10,12,7,4,3,1,3,7,0,0
456,1986,pos,casado,"2819,55",1,0,507,96,1,11,5,4,6,2,2,0,3,8,0,0
4692,1976,graduado,casado,"2819,55",1,0,697,19,7,0,12,13,7,5,4,1,2,9,2,0
9553,1987,graduado,casado,"2819,55",0,0,536,94,0,2,3,4,1,1,0,0,3,6,0,0
10710,1979,graduado,casado,"2819,55",0,1,669,61,5,2,3,3,0,1,1,0,2,8,0,0
4136,1992,ensino_medio,solteiro,"2819,55",1,0,573,63,10,17,18,8,26,4,3,2,2,9,0,0
10641,1978,graduado,solteiro,"2819,55",1,1,549,5,6,5,4,13,4,4,2,1,3,6,0,0
10001,1985,pos,vive_junto,"2819,55",1,0,697,98,5,17,17,13,14,4,2,1,3,9,0,0
10659,1979,pos,vive_junto,"2819,55",1,0,418,7,2,8,11,3,8,4,3,2,2,7,0,0
10749,1991,graduado,solteiro,"3018,05",0,0,649,62,73,18,66,7,12,15,0,1,0,19,0,0
2980,1952,mestrado,solteiro,"3315,79",1,1,464,52,12,0,13,4,2,4,3,0,3,8,0,0
10395,1986,ensino_medio,solteiro,"3360,9",1,0,676,25,1,45,3,4,6,3,3,1,3,8,0,0
451,1989,graduado,solteiro,"3479,32",1,0,191,91,9,0,7,2,0,1,1,1,2,8,0,0
5342,1976,ensino_medio,divorciado,"3589,47",1,0,690,31,0,1,3,10,6,2,1,0,3,8,0,0
7349,1973,ensino_medio,vive_junto,"3654,89",1,0,635,7,6,17,16,6,16,4,3,1,3,8,1,0
948,1971,graduado,solteiro,"3851,5",1,0,410,32,4,7,7,6,4,3,1,2,2,5,0,0
5987,1989,pos,vive_junto,"3911,28",1,0,56,52,2,2,11,10,6,2,1,0,4,5,0,0
6864,1989,mestrado,divorciado,"4127,44",0,0,38,34,8,4,10,2,2,2,3,0,3,5,0,0
10617,1989,mestrado,divorciado,"4127,44",0,0,38,34,8,4,10,2,2,2,3,0,3,5,0,0
7004,1984,graduado,solteiro,"4139,85",1,0,470,82,24,3,26,7,1,3,3,1,2,9,1,0
10241,1975,pos,divorciado,"4303,76",0,0,196,16,0,0,0,6,2,1,1,0,2,6,0,0
1773,1978,pos,casado,"4659,02",0,0,572,38,5,6,15,11,7,1,2,0,3,9,0,0
10032,1976,graduado,divorciado,"4725,94",1,0,162,86,3,5,14,2,12,4,3,1,3,6,0,0
9316,1952,ensino_medio,vive_junto,"4918,8",0,0,239,29,2,0,7,3,7,1,1,0,3,6,0,0
1160,1970,graduado,casado,"4984,96",1,1,310,48,9,4,17,10,2,4,3,0,3,8,0,0
