preco,ano_construcao,ano_Venda,m2,andar,tipo_Aquecimento,tempo_ate_onibus,tempo_ate_metro,qtde_elevadores,qtde_escritorios_publicos_perto,qtde_hospitais_perto,qtde_lojas_departamento_perto,qtde_shoppings_perto,qtde_estacionamentos_perto,qtde_escolas_fundamental1_perto,qtde_escolas_fundamental2_perto,qtde_escolas_medio_perto,qtde_universidades_perto
849552,2006,2007,"75,623042",3,individual,5min~10min,10min~15min,0,2,1,1,1,0,3,2,2,2
307962,1985,2007,"54,534061",8,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
292032,1985,2007,"54,534061",6,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
2283180,2006,2007,"191,008568",8,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
1327428,1993,2007,"163,602183",3,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
215040,1992,2007,"32,980565",5,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
469908,1992,2007,"59,829532",2,individual,5min~10min,15min~20min,8,5,1,1,1,0,3,3,4,4
371676,1993,2007,"59,829532",10,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
504420,1993,2007,"59,829532",3,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
499110,1992,2007,"59,829532",13,individual,5min~10min,15min~20min,8,5,1,1,1,0,3,3,4,4
1008846,1986,2007,"127,927431",4,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
923892,1986,2007,"84,913342",11,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1205304,2007,2007,"80,639804",18,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
361056,1985,2007,"54,534061",7,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
560172,1986,2007,"84,54173",7,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
1115040,1993,2007,"119,659064",24,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
724776,1993,2007,"84,913342",2,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
387606,1992,2007,"53,512128",5,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
1061946,1993,2007,"134,802253",1,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
334512,1992,2007,"53,512128",1,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
228318,1992,2007,"32,980565",3,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
552210,1993,2007,"59,829532",20,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1086366,2007,2007,"80,639804",18,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
992916,1986,2007,"105,073293",7,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1189380,2007,2007,"80,639804",12,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1115040,2007,2007,"80,639804",3,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
2692032,2007,2007,"152,639629",39,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
2230086,2007,2007,"128,856461",38,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1007784,2006,2007,"83,891409",10,individual,5min~10min,0-5min,11,3,1,1,1,0,4,3,3,1
1189380,2007,2007,"80,639804",13,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
446016,1997,2007,"59,829532",15,individual,5min~10min,15min~20min,4,7,1,2,1,1,4,0,0,3
281412,1985,2007,"54,534061",5,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
371676,1985,2007,"62,802428",7,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
1752210,2006,2007,"191,008568",2,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
1327428,1993,2007,"163,602183",15,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
230970,1992,2007,"32,980565",13,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
363714,1992,2007,"53,512128",2,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
828318,1993,2007,"84,913342",9,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
238938,1992,2007,"32,980565",5,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
217698,1992,2007,"32,980565",1,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
557520,1993,2007,"59,829532",18,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1061946,1993,2007,"134,802253",17,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
807078,1993,2007,"84,913342",16,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
467256,1992,2007,"59,829532",7,individual,5min~10min,15min~20min,8,5,1,1,1,0,3,3,4,4
515040,1993,2007,"59,829532",17,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
849552,1992,2007,"134,523544",11,individual,5min~10min,15min~20min,8,5,1,1,1,0,3,3,4,4
589380,1993,2007,"59,829532",12,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
212388,1992,2007,"32,980565",8,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
955752,1993,2007,"119,659064",15,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
573450,1993,2007,"59,829532",14,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
886722,2005,2007,"69,026929",8,individual,0~5min,5min~10min,0,5,2,0,1,0,3,4,4,4
2044242,2007,2007,"128,856461",42,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1184070,2007,2007,"80,639804",7,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1088490,2007,2007,"80,639804",7,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
2076102,2007,2007,"128,856461",28,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
334512,1985,2007,"54,534061",9,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
2086722,2007,2007,"123,932602",10,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
